Account,Role,Mapped Investment Account,Prior Year End Date,Prior Year End Balance,Current Value,Current Balance,Notes
401k - Rivera Consulting - Alex,Investment,Member_1_401k,2025-12-31,52000,0,0,Map to an account from client_holdings.csv
Annuity Joint - Alex,Annuity,Member 1 Joint Annuity,2025-12-31,0,600000,600000,
Annuity Joint - Morgan,Annuity,Member 2 Joint Annuity,2025-12-31,0,300000,300000,
Annuity Single - Alex,Annuity,Member 1 Single Annuity,2025-12-31,85000,85000,85000,
Annuity Single - Morgan,Annuity,Member 2 Single Annuity,2025-12-31,50000,50000,50000,
Everyday Rewards Visa (...4410),Cash / spending,,2025-12-31,0,0,0,Created from transaction upload.
Family Checking,Cash / spending,,2025-12-31,0,0,0,Created from transaction upload.
Rivera Consulting Checking,Cash / spending,,2025-12-31,0,0,0,Created from transaction upload.
Health Savings Account (HSA),Investment,Member_1_HSA,2025-12-31,55000,0,0,
IRA - Alex,Investment,Member_1_IRA,2025-12-31,1058433,0,0,
IRA - Morgan,Investment,Member_2_IRA,2025-12-31,842454,0,0,Created from transaction upload.
Metro Retail Card (...7721),Cash / spending,,2025-12-31,0,0,0,Created from transaction upload.
Pension - Morgan,Pension,Member 2 Pension,2025-12-31,0,52000,52000,
Signature Travel Card (...2209),Cash / spending,,2025-12-31,0,0,0,Created from transaction upload.
Roth - Alex,Investment,Member_1_Roth,2025-12-31,245416,0,0,Created from transaction upload.
Roth - Morgan,Investment,Member_2_Roth,2025-12-31,191697,0,0,Created from transaction upload.
Trust - Alex,Investment,Member_1_Trust,2025-12-31,297313,0,0,Created from transaction upload.
Trust - Morgan,Investment,Member_2_Trust,2025-12-31,399788,0,0,Created from transaction upload.
